"astro-ph/0202443","Ersin Gogus","Richard Lieu (University of Alabama in Huntsville)","The effect of Planck scale space time fluctuations on Lorentz invariance
  at extreme speeds","Accepted by Astrophysical Journal Letters","Astrophys.J. 568 (2002) L67-L70","10.1086/340377",,"astro-ph gr-qc hep-ex hep-ph hep-th math-ph math.MP",,"  The starting point of this work is the axiomatic existence of a smallest
measurable interval, viz. the Planck time $t_P$, set by quantum fluctuations in
the vacuum metric tensor. By the Relativity Principle, the same limit must then
apply to the accuracy of all clocks which register time of events in their own
frames. Further, it implies that the ordinary meaning of distance also ceases
in the same manner beyond a scale l_P = c t_P. We demonstrate that quantum
space-time, if real, may be made manifest by observing very energetic
collisions, defined as interactions which occurred with the center-of-mass
frame $\Sigma'$ (of the participating bodies) moving at a high speed $v$
relative to our laboratory frame $\Sigma$. In such situations, the initial
conditions of the interaction are determined from direct measurements of the
ultra-energetic particles or photons by instruments aboard $\Sigma$: they
gather a raw dataset ${\cal S}$ which are subject to the limiting uncertainties
\~ (t_P, l_P). Yet a meaningful (i.e. experimentally verified) version of the
interaction is one where the interaction is viewed from frame $\Sigma'$. Since
no instruments aboard $\Sigma'$ have taken any data, the way we proceeded is by
a Lorentz transformation of ${\cal S}$ from $\Sigma$ to $\Sigma'$. Beware
however that the resulting ${\cal S'}$ no longer consists of raw data, i.e.
Lorentz distortions of probability distributions render the uncertainties
non-Planckian - in fact, it will be shown that as v -> c they are >> (t_P,
l_P), and are no longer negligible. Examples will given to indicate how a
proper interpretation of the most current high energy cosmic and gamma-ray data
necessitates incorporation of the said effect.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:18:08 GMT""},{""version"":""v2"",""created"":""Tue, 26 Feb 2002 02:55:04 GMT""}]","2009-11-07"
"hep-th/0202171","Swarnendu Sarkar","Swarnendu Sarkar","On the UV renormalizability of noncommutative field theories","29 pages, 8 figures, uses JHEP.cls, references added","JHEP 0206 (2002) 003","10.1088/1126-6708/2002/06/003","IMSC/2002/02/04","hep-th",,"  UV/IR mixing is one of the most important features of noncommutative field
theories. As a consequence of this coupling of the UV and IR sectors, the
configuration of fields at the zero momentum limit in these theories is a very
singular configuration. We show that the renormalization conditions set at a
particular momentum configuration with a fixed number of zero momenta,
renormalizes the Green's functions for any general momenta only when this
configuration has same set of zero momenta. Therefore only when renormalization
conditions are set at a point where all the external momenta are nonzero, the
quantum theory is renormalizable for all values of nonzero momentum. This
arises as a result of different scaling behaviors of Green's functions with
respect to the UV cutoff ($\Lambda$) for configurations containing different
set of zero momenta. We study this in the noncommutative $\phi^4$ theory and
analyse similar results for the Gross-Neveu model at one loop level. We next
show this general feature using Wilsonian RG of Polchinski in the globally O(N)
symmetric scalar theory and prove the renormalizability of the theory to all
orders with an infrared cutoff. In the context of spontaneous symmetry breaking
(SSB) in noncommutative scalar theory, it is essential to note the different
scaling behaviors of Green's functions with respect to $\Lambda$ for different
set of zero momenta configurations. We show that in the broken phase of the
theory the Ward identities are satisfied to all orders only when one keeps an
infrared regulator by shifting to a nonconstant vacuum.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:26:38 GMT""},{""version"":""v2"",""created"":""Mon, 11 Mar 2002 18:28:42 GMT""}]","2009-11-07"
"hep-th/0202172","Andrei Marshakov","A.Marshakov, A.Yung","Non-Abelian Confinement via Abelian Flux Tubes in Softly Broken N=2 SUSY
  QCD","LaTeX, 37 pp, 5 figures; sect.5 modified and sect.6 slightly changed","Nucl.Phys.B647:3-48,2002","10.1016/S0550-3213(02)00893-3","FIAN/TD-03/02, ITEP/TH-08/02, PNPI/2467/02","hep-th",,"  We study confinement in softly broken N=2 SUSY QCD with gauge group SU(N_c)
and N_f hypermultiplets of fundamental matter (quarks) when the Coulomb branch
is lifted by small mass of adjoint matter. Concentrating mostly on the theory
with SU(3) gauge group we discuss the N=1 vacua which arise in the weak
coupling at large values of quark masses and study flux tubes and monopole
confinement in these vacua. In particular we find the BPS strings in SU(3)
gauge theory formed by two interacting U(1) gauge fields and two scalar fields
generalizing ordinary Abrikosov-Nielsen-Olesen vortices. Then we focus on the
SU(3) gauge theories with N_f=4 and N_f=5 flavors with equal masses. In these
theories there are N=1 vacua with restored SU(2) gauge subgroup in quantum
theory since SU(2) subsectors are not asymptotically free. We show that
although the confinement in these theories is due to Abelian flux tubes the
multiplicity of meson spectrum is the same as expected in a theory with
non-Abelian confinement.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:58:50 GMT""},{""version"":""v2"",""created"":""Mon, 22 Apr 2002 10:31:05 GMT""},{""version"":""v3"",""created"":""Fri, 28 Jun 2002 17:13:13 GMT""}]","2010-05-27"
"hep-th/0202173","Djordje Minic","D. Minic and C. H. Tze","Nambu Quantum Mechanics: A Nonlinear Generalization of Geometric Quantum
  Mechanics","15 pages, LaTeX, typos corrected","Phys.Lett.B536:305-314,2002","10.1016/S0370-2693(02)01865-8","VPI-IPPAP-02-03","hep-th",,"  We propose a generalization of the standard geometric formulation of quantum
mechanics, based on the classical Nambu dynamics of free Euler tops. This
extended quantum mechanics has in lieu of the standard exponential time
evolution, a nonlinear temporal evolution given by Jacobi elliptic functions.
In the limit where latter's moduli parameters are set to zero, the usual
geometric formulation of quantum mechanics, based on the Kahler structure of a
complex projective Hilbert space, is recovered. We point out various novel
features of this extended quantum mechanics, including its geometric aspects.
Our approach sheds a new light on the problem of quantization of Nambu
dynamics. Finally, we argue that the structure of this nonlinear quantum
mechanics is natural from the point of view of string theory.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:26:50 GMT""},{""version"":""v2"",""created"":""Mon, 25 Mar 2002 18:37:57 GMT""}]","2008-11-26"
"hep-th/0202174","Gregory Gabadadze","Gia Dvali, Gregory Gabadadze, M. Shifman","Diluting Cosmological Constant In Infinite Volume Extra Dimensions","36 pages, 1 eps fig; 4 refs and comment added","Phys.Rev.D67:044020,2003","10.1103/PhysRevD.67.044020","NYU-TH/02/02/10; TPI-MINN-02/4; UMN-TH-2044/02","hep-th hep-ph",,"  We argue that the cosmological constant problem can be solved in a braneworld
model with infinite-volume extra dimensions, avoiding no-go arguments
applicable to theories that are four-dimensional in the infrared. Gravity on
the brane becomes higher-dimensional at super-Hubble distances, which entails
that the relation between the acceleration rate and vacuum energy density flips
upside down compared to the conventional one. The acceleration rate decreases
with increasing the energy density. The experimentally acceptable rate is
obtained for the energy density larger than (1 TeV)$^4$. The results are stable
under quantum corrections because supersymmetry is broken only on the brane and
stays exact in the bulk of infinite volume extra space. Consistency of 4D
gravity and cosmology on the brane requires the quantum gravity scale to be
around $10^{-3}$ eV. Testable predictions emerging within this approach are:
(i) simultaneous modifications of gravity at sub-millimeter and the Hubble
scales; (ii) Hagedorn-type saturation in TeV energy collisions due to the Regge
spectrum with the spacing equal to $10^{-3}$ eV.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:48:54 GMT""},{""version"":""v2"",""created"":""Sat, 27 Apr 2002 01:26:20 GMT""}]","2009-07-09"
"hep-th/0202177","Vladimir V. Dyadichev","V.V. Dyadichev and D.V. Gal'tsov","Monopoles in NBI-Higgs theory and Born-Infeld collapse","latex, 15 pages, 6 figures","Phys.Rev. D65 (2002) 124026","10.1103/PhysRevD.65.124026","LAPTH-901/2002, DTP-MSU/02-04","hep-th",,"  Regular magnetic monopoles in the non-Abelian Born-Infeld-Higgs theory are
known to exist in the region of the field strength parameter $\beta>\beta_{{\rm
cr}}$, bounded from below. Beyond this region, only pointlike (embedded
abelian) monopoles exist, and we show that the transition from the regular to
singular structure is reminiscent of gravitational collapse. Near the threshold
behavior is characterized by the rapidly increasing negative pressure, which
typically arises in the high density NBI matter. Another feature, shared both
the NBI and gravitating monopoles, is the existence of excited states, which
can be thought of as bound states of monopoles and sphalerons. These are
labeled by the number $N$ of nodes of the Yang-Mills function. Their masses are
greater than the mass of the ground state monopole, and they are expected to be
unstable. The sequence of masses $M_N$ rapidly converges to the mass of the
embedded Abelian solution with constant Higgs. The ratio of the sphaleron size
to that of the monopole grows with decreasing $\beta$, and, at the same time,
both fall down until the solutions cease to exist, again exhibiting collapse to
the pointlike monopole. The results are presented and compared both for the
ordinary and the symmetrized trace NBI actions.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 09:59:10 GMT""}]","2009-11-07"
"hep-th/0202178","Maria Cristina Diamantini","M. C. Diamantini and C. A. Trugenberger","QCD-Like Behaviour of High-Temperature Confining Strings","4 pages, no figures","Phys.Rev.Lett. 88 (2002) 251601","10.1103/PhysRevLett.88.251601",,"hep-th",,"  We show that, contrary to previous string models, the high-temperature
behaviour of the recently proposed confining strings reproduces exactly the
correct large-N QCD result, a {\it necessary} condition for any string model of
confinement.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:23:38 GMT""}]","2009-11-07"
"hep-th/0202180","Mariano Cadoni","M. Cadoni, P. Carta and S. Mignemi","The Cardy-Verlinde formula for 2D gravity","14 pages, Latex file. v2: reference added","Nucl.Phys. B632 (2002) 383-393","10.1016/S0550-3213(02)00259-6","INFNCA-TH0203","hep-th",,"  We discuss the different bounds on entropy in the context of two-dimensional
cosmology. We show that in order to obtain well definite bounds one has to use
the scale symmetry of the gravitational theory. We then extend the recently
found relation between the Friedmann equation and the Cardy formula to the case
of two dimensions. In particular, we find that in two dimensions this relation
requires that the central charge c of the conformal field theory is given in
terms of the Newton constant G of the gravitational theory by c=6/G.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:29:52 GMT""},{""version"":""v2"",""created"":""Mon, 4 Mar 2002 12:06:52 GMT""}]","2009-11-07"
"hep-th/0202181","Casteill","Pierre-Yves Casteill","Renormalisability of non-homogeneous T-dualised sigma-models","14 pages","Phys.Lett. B543 (2002) 241-248","10.1016/S0370-2693(02)02422-X",,"hep-th",,"  The quantum equivalence between sigma-models and their non-abelian T-dualised
partners is examined for a large class of four dimensional non-homogeneous and
quasi-Einstein metrics with an isometry group SU(2) times U(1). We prove that
the one-loop renormalisability of the initial torsionless sigma-models is
equivalent to the one-loop renormalisability of the T-dualised torsionful
model. For a subclass of Kahler original metrics, the dual partners are still
Kahler (with torsion).
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 14:30:48 GMT""},{""version"":""v2"",""created"":""Wed, 27 Feb 2002 16:07:42 GMT""},{""version"":""v3"",""created"":""Tue, 30 Jul 2002 16:29:53 GMT""}]","2015-06-26"
"hep-th/0202182","Pierre van Baal","Pierre van Baal","Chiral zero-mode for abelian BPS dipoles","9 pages, 1 figure (in 2 parts), presented at the workshop on
  ""Confinement, Topology, and other Non-Perturbative Aspects of QCD"", 21-27
  Jan. 2002, Stara Lesna, Slovakia",,,"INLO-PUB-01/02","hep-th hep-ph",,"  We present an exact normalisable zero-energy chiral fermion solution for
abelian BPS dipoles. For a single dipole, this solution is contained within the
high temperature limit of the SU(2) caloron with non-trivial holonomy.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 15:57:30 GMT""}]","2007-05-23"
"math-ph/0202034","Korotkin Dmitry","A. Kokotov and D.Korotkin","Tau-function on Hurwitz spaces","Substantial expansion; higher genus case is added",,,,"math-ph math.MP",,"  We construct a flat holomorphic line bundle over a connected component of the
Hurwitz space of branched coverings of the Riemann sphere. A flat holomorphic
connection defining the bundle is described in terms of the invariant Wirtinger
projective connection on the branched covering corresponding to a given
meromorphic function on a Riemann surface. In genera 0 and 1 we construct a
nowhere vanishing holomorphic horizontal section of this bundle (the
``Wirtinger tau-function''). In higher genus we compute the modulus square of
the Wirtinger tau-function.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:38:27 GMT""},{""version"":""v2"",""created"":""Mon, 10 Feb 2003 02:42:12 GMT""}]","2007-05-23"
"math-ph/0202038","Peter M. Alberti","Peter M. Alberti and Armin Uhlmann","On Bures-Distance and *-Algebraic Transition Probability between Inner
  Derived Positive Linear Forms over W*-Algebra","LaTeX2e (elsart), 40 pages","Acta Applicandae Mathematicae, 60(1):1--37, 2000",,,"math-ph math.MP math.OA",,"  On a W*-algebra M, for given two positive linear forms f,g and algebra
elements a,b a variational expression for the Bures-distance d_B(f^a,g^b)
between the inner derived positive linear forms f^a=f(a* . a) and g^b=g(b* . b)
is obtained. Along with the proof of the formula also some earlier result of
S.Gudder on non-commutative probability will be slightly extended. Also, the
given expression of the Bures-distance nicely relates to some system of
seminorms proposed by D.Buchholz and which occured along with the problem of
estimating the so-called `weak intertwiners' in algebraic quantum field theory.
In the last part some optimization problem will be considered.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:42:58 GMT""}]","2015-11-18"
"math-ph/0202039","Ashwin Vaidya","Ashwin Vaidya, George Sparling","On the Classical Solutions of the Perturbed, Massless Wave Equation with
  Singular Potential","15 pages, no figures",,,,"math-ph math.AP math.MP",,"  This paper discusses the solutions to the perturbed wave equation containing
a singular potential term in the Lorentzian metric. We present the classical
solution to the problem using the separation of variables method for any
dimension, n. Special solutions are obtained for even n's and properties of
these solutions are discussed. Finally, we also consider the solution to the
Cauchy problem for the case n=2.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 21:28:59 GMT""}]","2007-05-23"
"math-ph/0202040","Yrii Kosovtsov","Yu. N. Kosovtsov","The introduction to the operator method for solving differential
  equations.First-order DE","18 pages",,,,"math-ph math.GM math.MP",,"  We introduce basic aspects of new operator method, which is very suitable for
practical solving differential equations of various types. The main advantage
of the method is revealed in opportunity to find compact exact operator
solutions of the equations and then to transform them to more convenient form
with help of developed family of operator identities. On example of non-linear
first-order DEs we analyse analytical and algorithmical possibilities for
solutions obtaining. Different forms of solutions for first-order DEs are
given, including for some integro-differential equations and equations with
variational derivatives. We describe new algorithms for direct computing the
solutions with help of computer algebra system (CAS). We also discuss recipe
for finding new solvability conditions, which allow to enlarge DE solving
abilities of existent CAS.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 08:20:26 GMT""}]","2007-05-23"
"math-ph/0202041","Karl-Henning Rehren","C. Meusburger, K.-H. Rehren","Algebraic quantization of the closed bosonic string","22 pages. Revised: minor changes as in the published version (CMP)","Commun.Math.Phys.237:69-85,2003","10.1007/s00220-003-0816-6",,"math-ph hep-th math.MP quant-ph",,"  The gauge invariant observables of the closed bosonic string are quantized
without anomalies in four space-time dimensions by constructing their quantum
algebra in a manifestly covariant approach. The quantum algebra is the kernel
of a derivation on the universal envelopping algebra of an infinite-dimensional
Lie algebra. The search for Hilbert space representations of this algebra is
separated from its construction, and postponed.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 12:34:24 GMT""},{""version"":""v2"",""created"":""Mon, 10 Mar 2003 15:07:39 GMT""}]","2008-11-26"
